,Name,Link,Category,Description
1, Zoho Recruit API,https://www.programmableweb.com/api/zoho-recruit,Enterprise," Zoho Recruit is an Applicant Tracking System that provides an API. The product lets companies create job openings and track applications. Using the API, one might integrate with HR or other systems."
2, Marine/Surfing Weather API,https://www.programmableweb.com/api/marinesurfing-weather,Weather, The Free Marine Weather REST API methods allows developers and programmers to access today's live marine and sailing weather forecast. You can use any programming language of your choice to get...
3, Net Atlantic API,https://www.programmableweb.com/api/net-atlantic,Email," Net Atlantic offers feature-rich email marketing solutions with all the necessary tools to create, send, track and manage your email marketing campaigns successfully. Increase your email marketingâ€™..."
4, Adaptive Media API,https://www.programmableweb.com/api/adaptive-media,Search," From the site: ""Mimvi is completely committed to open and close collaboration with all developersï¿½large and smallï¿½across the board. Our goal is to ensure your efforts are rewarded; your app..."
5, MangoApps API,https://www.programmableweb.com/api/mangoapps,Enterprise," From the website: ""MangoSpring open APIs allow authorized users or applications to use MangoSpring's Real-Time Collaboration platform to generate information feeds for activities you do in your..."
6, UCRUX API,https://www.programmableweb.com/api/ucrux,Email," The UCRUX email marketing API lets developers and users synchronize their application with UCRUX email marketing system. UCRUX offers examples in PHP and .NET, and features a RESTful protocol,..."
7, YottaShare API,https://www.programmableweb.com/api/yottashare,Tools," YottaShare offers an API for expansion of shortened URLs. The service works for bit.ly, tr.im, snipr, and retwt.me services. It offers a RESTful interface, returning data in XML. There are no signup..."
8, LoopFuse API,https://www.programmableweb.com/api/loopfuse,Enterprise, LoopFuse provides a webservice API for getting and inserting information from your LoopFuse OneView account programatically. LoopFuse OneView is an enterprise marketing automation platform. Among the...
9, EdisonAve Geocoder API,https://www.programmableweb.com/api/edisonave-geocoder,Mapping, Provides both forward and reverse geocoding on a per-use cost. The service turns a latitude/longitude pair into a meaningful address or place name. An address or name can also be turned into...
10, Club Texting API,https://www.programmableweb.com/api/club-texting,Messaging," Club Texting's SMS APIs allow developers to integrate text messaging into desktop applications, web services or mobile apps. Club Texting offers a web-based bulk text messaging platform that lets..."
11, Entireweb API,https://www.programmableweb.com/api/entireweb,Search," The Entireweb Search API provides direct access to the search engine's results. Since you receive the results as XML or JSON, you will have full control of how the results are presented on your page..."
12, Shareaholic API,https://www.programmableweb.com/api/shareaholic,Social," The Share API allows developers to give users the ability to share content/links from their (or any) website, desktop app, mobile app, etc to any of 300+ supported destination services.
Shareaholic..."
13, Connect2Field API,https://www.programmableweb.com/api/connect2field,Office, Connect2Field is a field service software for your service business hosted in the cloud. It allows you to schedule work to your staff and dispatch the work to their mobile phone. The API allows you...
14, WinTheTrophy API,https://www.programmableweb.com/api/winthetrophy,Sports, WinTheTrophy offers developers their BetBot API which gives access to making sports bets. The API features a RESTful protocol and returns data via the JSON and XML formats.
15, ParkWhiz API,https://www.programmableweb.com/api/parkwhiz,Parking," The ParkWhiz API gives developers access all of ParkWhiz's parking garage POI data, realtime rates and ability to purchase parking.. The API features a RESTful interface and returns data via the JSON..."
16, Koordinates API,https://www.programmableweb.com/api/koordinates,Mapping, The Koordinates APIs allow users to query data hosted on Koordinates via simple HTTP requests. They are accessible to any user who has a valid login to Koordinates. The Vector Query API allows...
17, IP Commerce API,https://www.programmableweb.com/api/ip-commerce,Financial," IP Commerce powers Commerce Boarding and Commerce Sync products. These products enable our partners to quickly and easily evaluate the quality of new customers, as well as reconcile payment..."
18, Matrix SMS Gateway API,https://www.programmableweb.com/api/matrix-sms-gateway,Telephony, The Matrix SMS Gateway API allows for integration with various front-end and legacy systems. Matrix SMS Gateway for group messaging provides businesses a hosted messaging platform to add SMS...
19, EzineArticles API,https://www.programmableweb.com/api/ezinearticles,Other," EzineArticles provides an array of user submitted articles. From the website: ""The EzineArticles Application Programming Interface (API) allows developers to connect their applications to the..."
20, Simple Sales Tracking API,https://www.programmableweb.com/api/simple-sales-tracking,Financial," From the website: ""View and Modify your data in Simple Sales Tracking, from another website or application. There are a lot of possibilities. Here are a few ideas:
- Synchronize Contacts with another..."
21, CrowdSavings API,https://www.programmableweb.com/api/crowdsavings,eCommerce, The CrowdSavings API gives developers access to the flash deal/daily deal site. The API features a RESTful interface and returns data in the JSON and XML formats.
22, Crum.bs API,https://www.programmableweb.com/api/crumbs,URL Shortener, The Crum.bs API offers a URL Shortener in two styles: the Simpleshorten and the Advanced Shorten. The Simpleshorten responds to a simple url request whereas the Advanced Shorten service returns data...
23, Put.io API,https://www.programmableweb.com/api/putio,Storage, The Put.io API offers a storage service that fetches media files and lets you stream them immediately. It features a library in Python via the JSON protocol.
24, Pizza-Rat Restaurant Health API,https://www.programmableweb.com/api/pizza-rat-restaurant-health,Food," With Pizza-Rat's Restaurant Health API, users get access to real-time restaurant health department inspection scores and results for over 20 cities worldwide. The API offers a RESTful interface and..."
25, BigDoor API,https://www.programmableweb.com/api/bigdoor,Other," The BigDoor API offers web developers help building game-like mechanics and loyalty programs into their sites or applications through points, badges, levels, leaderboards, virtual currency and..."
26, E*TRADE API,https://www.programmableweb.com/api/etrade,Financial," From the website: ""With E*TRADE's open XML-based Application Programming Interface, you can now use industry-leading trading applications to execute your trades directly through E*TRADE - no..."
27, OCWSearch API,https://www.programmableweb.com/api/ocwsearch,Education," OCW Search is a search engine dedicated to increasing access to the information found in the best free university courses online. Several universities publish their course materials for free online,..."
28, Checkfront API,https://www.programmableweb.com/api/checkfront,Enterprise," Checkfront is a booking service that allows businesses to manage their schedule based inventories, centralize reservations, and process payments online. It can be used to manage accommodation, events..."
29, OpenGeoTracker API,https://www.programmableweb.com/api/opengeotracker,Other, This API lets users monitor their GPS-phone. Users have full control of their own data. Both client software (for phones) and server software is free open source. OpenGeoTracker is an open source...
30, Frinly API,https://www.programmableweb.com/api/frinly,Photos," The Frin.ly API allows users access to the site functionality. Frin.ly is a free photo sharing site that allows users to share their photos on Twitter. Users can post photos via Mobile Phone, Email,..."
31, PDFmyURL API,https://www.programmableweb.com/api/pdfmyurl,Office, This API allows users to convert webpages into PDF docuuments. PDFmyURL is a solution for HTML to PDF creation. Site builders can integrate functions for converting content into PDF's. The core...
32, Aerapay API,https://www.programmableweb.com/api/aerapay,Payments," The service enables payment from a user's mobile device directly to an application provider. When the user approves payment, the service accesses the credit balance stored on the device and transfers..."
33, lukup API,https://www.programmableweb.com/api/lukup,Social," Users can enhance their apps using lukup APIs for cross platform messaging, search, news feeds, contacts, location, etc. lukout is a location based search and messaging widget for mobile phones...."
