,Job Title,Job Location,Date,Link,Job Attributes,Job Description
1,Skills Trainer Needed!,N/A,Feb 23,https://boston.craigslist.org/bmw/npo/d/waltham-skills-trainer-needed/7080812442.html,"
compensation: $17-$22 per hour

employment type: contract

non-profit organization

","

QR Code Link to This Post


BILT, Inc. is looking for a qualifed consultant to add to our team! As a consultant you will receive training to work directly with people diagnosed with disabilities in their homes, providing caregiving or skills training under the supervision of the company behaviorist. Some of the activities we frequently take individulas too include trampoline parks, running clubs, yoga classes, and a variety of other community events. Some examples of skill building activities include teaching an individual how to cook, accompanying on a work site/volunteer site, or helping them learn to take the MBTA.

Requirements: 
-FA/CPR trained or willing to be trained
-Ability to complete online trainings and submit certificates
-Ability to pass a CORI background check
-Willing to shadow a seasoned staff anywhere between 1-3 days (you will be compensated)
-Reliable vechicle and good driving record
-3 professional reference required
-Excellent communication skills
-College education preferred but not required (proof of education required for hire)
-Flexibility to work in the afternoons between 3pm-6pm (Wednesday afternoons are the most popular afternoon), Friday evenings, and availability on weekends. 

Shifts are typically 3-4 hours but at times we do have overnights available and longer shifts. We believe that in order to get the best services for our individuals we need to pay our employees a competitive wage, based on their education and experience level. High school diploma applicants typically start at 17 per hour for example.    "
2,Summer Jobs! 🌱 BE AN ENVIRONMENTAL ACTIVIST! Avg $6-$8k/Summer🌍,Downtown Crossing,Feb 22,https://boston.craigslist.org/gbs/npo/d/boston-summer-jobs-be-an-environmental/7080289561.html,"
compensation: Average $6,000-$8,000 for the summer

employment type: full-time

non-profit organization

","

QR Code Link to This Post











"
3,"Metro Boston Human Services Hiring Event! Wed, February  26","1001 Watertown Street, West Newton",Feb 21,https://boston.craigslist.org/gbs/npo/d/west-newton-metro-boston-human-services/7079658416.html,"
compensation: Great Pay Rates, flexible schedule options, and amazing Benefits!

employment type: employee's choice

","

QR Code Link to This Post


Date: Wednesday, February  26
Time: 1:00 PM to 3:00 PM

Location: 1001 Watertown Street, West Newton, MA 02465

Come join us our job fair for Human Services positions in the Metro Boston areas. We are hiring for part time, full time and per diem Residential Counselors, Day Program Staff,  CNAs, and Home Health Aides.

The event is free to attend and walk-ins are encouraged. Bring your resume and we'll see you there!

About Us

Established in 1977, Vinfen is a nonprofit, health and human services organization and a leading provider of community-based services to individuals with disabilities. Each year, Vinfen provides a comprehensive array of services to adolescents and adults with psychiatric conditions, developmental disabilities, brain injuries, and behavioral health challenges. Vinfen’s 3,000 dedicated employees are experienced, highly-trained professionals who provide a full range of supportive living, health, educational, and clinical services in more than 200 programs throughout eastern Massachusetts and Connecticut.

Requirements

A high school diploma or equivalent is required. Associate's degree in a human service discipline preferred.
Prior experience working in a human services setting strongly preferred
Preference given to bilingual/bicultural applicants and applicants with lived experience of psychiatric conditions.
Strong time management and writing skills.

✓Be at least 21 years of age and have a current, valid, US drivers' license for at least one year and access to a reliable, fully insured vehicle. 

✓Be able to successfully pass a CORI, reference, multi-state background and driving record check.

✓Must be able to become CPR and First Aid certified within two weeks of hire and become MAP certified within 150 days of hire.

Why Vinfen?

We are committed to you! We offer great training, great benefits, career growth and job security!

Our comprehensive and generous benefits package includes: 
A fully funded, employer-sponsored retirement plan that requires no employee contribution as well as an employee-funded 403(b) plan
Competitive Medical, Dental and Vision plans
Employer-paid Life, Accidental Death & Dismemberment and Long-Term Disability Insurance
Generous Vacation, Holiday, Personal and Sick Time Benefits
Flexible Spending Reimbursement Accounts (Health and Dependent care)
Educational Assistance and Remission Programs
Other generous benefits and perks!

Like us on Facebook and follow us on LinkedIn to keep up to date with our open positions and current events!

https://vinfen.org/work-at-vinfen/ 

Keywords: social services, counseling, social work, psychology, mental illness, mental health, disability, developmental disabilities, behavioral, rehabilitative, psychiatric, outreach worker, outreach services , human services, non profit, autism, crisis, trauma, advocacy, developmental disability, recovery.

Vinfen is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
    "
4,Receptionist & Client Liaison - Evening,Beverly,Feb 21,https://boston.craigslist.org/nos/npo/d/beverly-receptionist-client-liaison/7079537038.html,"
compensation: $12.75/hour

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Position Title: Receptionist & Client Liaison - Evening

Reports to: HR & Support Supervisor

Hours: up to 9/week: 1-2 nights/week: Monday through Thursday, 4pm to 8:30pm

Position Overview: Beverly Bootstraps Community Services, Inc. is committed to providing a safe, welcoming facility to clients, volunteers, staff and donors at its main office 35 Park Street. The Receptionist & Client Liaison should be an approachable, confident individual who will be responsible for overseeing all aspects of the front desk during the position hours.

Skills Desired: Excellent human relations, high level of organization and communication abilities. Patient and conscientious. Excellent analytical and problem solving skills. Familiar with use of office equipment. Able to work with little to no supervision. Excellent clerical and computer skills. Knowledge of Microsoft Word & Excel and Google email & calendars preferred. Availability to occasionally cover morning shift (8:15am to 1:00pm) or other evening shifts for absent staff a plus.

Position duties and responsibilities include, but are not limited to:

Greet all incoming visitors; direct to appropriate staff or program
Provide resource info to clients, including cross-selling Beverly Bootstraps' programming
Answer phones and forward calls to appropriate staff; assist callers with information about Beverly Bootstraps; buzz in students to Education floor when Education front desk is unstaffed
Assist donors to weigh in food donations; accept other in-kind gifts, as well as monetary donations
Oversee visitor, client and volunteer access via sign in/out logs; monitor security cameras; ensure building safety to include locking doors and arming security system at end of day
Control food pantry take-a-number system for evening distribution
Provide clerical administrative support to all staff as needed, including mailings
Manage agency calendar, schedules, conference rooms and closing signs; publish weekly program activity sheet
Enter thrift shop sales data by department into Excel files daily within position hours.
Assist thrift shop with counting daily cash.
Adhere to the Beverly Bootstraps Written Information Security Plan and Procedures
Comply with all policies & procedures as outlined in the Employee Handbook
Be compassionate, connected and value team success; be kind, clear and work with integrity in all relations; do what it takes to make our community better by positively impacting lives; understand the mission of and be invested in Beverly Bootstraps
Other duties as assigned.

Desired Minimum Qualifications:

Education: Graduation from two-year college program or more.
Experience: At least two years of related work experience
OR: An equivalent combination of education and experience.
Successful CORI check.
Primary Physical Requirements:

Candidate will need to regularly lift up to 35 pounds of materials. Sometimes candidate will be required to lift and move up to 50 pounds; hand dolly is available. Long periods of computer use may be necessary. The ability to use a calculator, telephone, copier, printer, postage meter and facsimile machines is necessary.

Statement of Non-Discrimination:

Beverly Bootstraps believes that one of the great strengths of community is the rich diversity of its residents in race, religion, national origin, ethnicity, gender, sexual orientation, gender identity and expression, marital status, age, height, weight, physical or mental disability, veteran status, pregnancy, or any other protected characteristic as established by law. Beverly Bootstraps affirms publicly its moral and legal commitment to a policy of equal opportunity and non-discrimination in employment.

Beverly Bootstraps Community Services, Inc.

35 Park Street, Beverly, MA 01915    "
5,Community Health Worker,Chelmsford,Feb 20,https://boston.craigslist.org/gbs/npo/d/chelmsford-community-health-worker/7079242098.html,"
compensation: Competitive Salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a dynamic, committed social services professional to work collaboratively with health providers to address the social needs of high risk pediatric patients and their families at a Harvard Vanguard Medical Associates site in Chelmsford. Seeking a creative problem-solver who can assess, educate, and support families in accessing community resources to improve health and quality of life.
POSITION DESCRIPTION
The CHW works under contract with our health provider partners to provide community resource coordination for patients who have complex medical and social needs. As part of a team with Nurse Care Managers, physicians and social workers, the CHW receives referrals and seeks out solutions to non-medical problems which impact health, including assistance with financial and insurance issues, transportation, behavioral health, in-home services, legal assistance, etc. The CHW meets with patients in their home, in the medical office or at other community locations to engage them and connect them to their primary care practice.
QUALIFICATIONS
 Bachelor's Degree in Social Work or related Human Services Field.
Previous experience in human services field, preferably in a community services or medical setting. 
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 37 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Braintree, Milton, Weymouth, Hingham, Randolph, Holbrook, Boston, Brookline, Dedham, Winthrop, Rockland, Chelsea, Canton, Cambridge, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Community Services, Medical, Community Health Worker, Health Care, Community Based Care
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1340487-143011.html "
6,Administrative Assistant,Waltham,Feb 20,https://boston.craigslist.org/gbs/npo/d/waltham-administrative-assistant/7079237559.html,"
compensation: Competitive Salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a Full Time Administrative Assistant to join our Support Staff Team!
POSITION DESCRIPTION
The Administrative Assistant will provide overall administrative support for designated Springwell staff.    
Responsibilities for this position may include:
Administrative duties such as copying, filing, scanning, typing, mailing, and phone calls
Providing daily coverage for other administrative assistants and the receptionist as needed
Providing administrative support for projects, which may include compiling materials, data entry, and running reports
Maintaining cleanliness of staff lounge, common areas and meeting rooms
Assisting with scheduling, correspondence, and tracking deadlines
Performance of other office duties as requested
QUALIFICATIONS
Associates Degree or 2 years of administrative experience in an office setting preferred
Previous experience in the human services or healthcare field preferred
Ability to prioritize responsibilities and maintain flexibility with assigned tasks
A positive attitude and willingness to support others
Ability to work independently as well as part of a team 
Knowledge of computer software applications such as word processing, spreadsheets, and databases
BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 37 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Administrative Assistant, Receptionist, Support Staff, Office Administrator, Clerk, Data Entry Clerk, Receptionist/Administrative Assistant, Office Assistant, Executive Assistant, Social Services, Social Work, Care Coordinator, Elder, Geriatric Care, Assisted Living, Human Services, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Council on Aging, Assistant, Support
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1342487-143011.html "
7,Community Health Worker,Boston,Feb 20,https://boston.craigslist.org/gbs/npo/d/boston-community-health-worker/7079235034.html,"
compensation: Competitive Salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a dynamic, committed social services professional to work collaboratively with health providers to address the social needs of high risk pediatric patients and their families at two Harvard Vanguard Medical Associates sites in Boston . Seeking a creative problem-solver who can assess, educate, and support families in accessing community resources to improve health and quality of life.
POSITION DESCRIPTION
The CHW works under contract with our health provider partners to provide community resource coordination for patients who have complex medical and social needs. As part of a team with Nurse Care Managers, physicians and social workers, the CHW receives referrals and seeks out solutions to non-medical problems which impact health, including assistance with financial and insurance issues, transportation, behavioral health, in-home services, legal assistance, etc. The CHW meets with patients in their home, in the medical office or at other community locations to engage them and connect them to their primary care practice.
QUALIFICATIONS
 Bachelor's Degree in Social Work or related Human Services Field.
Previous experience in human services field, preferably in a community services or medical setting. 
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 37 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Braintree, Milton, Weymouth, Hingham, Randolph, Holbrook, Boston, Brookline, Dedham, Winthrop, Rockland, Chelsea, Canton, Cambridge, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Community Services, Medical, Community Health Worker, Health Care, Community Based Care
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1342481-143011.html "
8,Quality and Compliance Manager,Waltham,Feb 20,https://boston.craigslist.org/gbs/npo/d/waltham-quality-and-compliance-manager/7079223782.html,"
compensation: Competitive Salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Exciting opportunity for the unique professional who has great clinical skills and enjoys working with data.
POSITION DESCRIPTION
Springwell is seeking an individual to oversee quality assurance and improvement activities throughout the agency. The position has a variety of responsibilities that will consist of:
hands on tasks such as running and reviewing reports, and conducting record reviews, 
collaborating with Program Managers to implement and maintain systems that monitor compliance with standards, 
identifying and creating practices that improve the delivery of programs, 
providing leadership around the development and process of annual surveys and record reviews,
organizing and leading the Quality Improvement Committee,
developing an annual Quality Improvement Plan, and
tracking and analyzing data to support quality outcomes.
QUALIFICATIONS
Our ideal candidate is incredibly organized and able to balance many competing projects, flexible and able to quickly switch priorities, believes in the importance of meeting standards and is able to use data to make decisions and support recommendations.
Master's degree preferred. Bachelor's Degree required.
Experience as a Supervisor or Manager preferred.
Familiarity with community services for elders and the Massachusetts aging network preferred.
Demonstrated planning, program development and management skills.
Demonstrated leadership ability and the ability to work independently as well as part of a team.
Excellent verbal, written and computer skills.
A reliable car, current driver's license and safe driving record required.
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Employee referral bonuses
Free parking 
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, and welcoming environment that values each and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities. 
We believe in:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Boston, Social Services, Social Work, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, LICSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Clinical, Supervision, Supervisor, Supervisory, Manager, Management, Public Health, Quality Assurance, Quality Improvement, Quality, Director, Compliance
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1342477-143011.html "
9,Protective Services Supervisor,Waltham,Feb 20,https://boston.craigslist.org/gbs/npo/d/waltham-protective-services-supervisor/7079219089.html,"
compensation: Competitive Salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking an experienced Supervisor to join our Protective Services Program!  
POSITION DESCRIPTION
The Protective Services Supervisor provides regular administrative and clinical supervision to Protective Services Workers who are conducting investigations of abuse, neglect and financial exploitation of individuals age 60 and older.  The supervisor will meet with workers at least weekly to review investigations, provide direction and ensure that workers are making steady progress on cases. Other responsibilities include reviewing new reports for possible investigation, assisting in training new staff, and reviewing records for quality and compliance. 
QUALIFICATIONS
Bachelor's Degree required. Master's Degree preferred. 
2 years' experience in crisis intervention, counseling, case management or investigations required.
Prior supervisory experience strongly preferred.
Must have the ability to hold staff accountable and provide direct feedback. 
LCSW or LICSW preferred. 
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Employee referral bonuses
Free parking 
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, and welcoming environment that values each and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities. 
We believe in:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Ashland, Dover, Framingham, Holliston, Hopkinton, Natick, Sherborn, Sudbury, Wayland, Boston, Westwood, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, LICSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Protective Services, PS, Crisis Intervention, Crisis, Criminal Justice, Counseling, Abuse, Neglect, Supervision, Supervisor, Supervisory
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1342468-143011.html "
10,Human Resources Recruitment Coordinator,Waltham,Feb 20,https://boston.craigslist.org/gbs/npo/d/waltham-human-resources-recruitment/7079215642.html,"
compensation: Competitive Salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a Recruitment Coordinator to join our HR team! The Human Resources Recruiter will be responsible for coordinating the agency's efforts around recruitment and hiring of new personnel.
POSITION DESCRIPTION
The Human Resources Recruitment Coordinator will be responsible for coordinating the agency's efforts around hiring new employees, including posting open positions, screening resumes, conducting phone interviews, and maintaining the agency's applicant tracking system. The Recruitment Coordinator will also be involved in the onboarding process and will be responsible for overall general Human Resources support for the agency. 
QUALIFICATIONS
Bachelor's degree in Human Resources or related field.
Minimum 1 year experience in Recruitment.
Strong skills in computer programs including Microsoft Office Suite (especially Outlook and Excel) required.
Familiarity with ApplicantPro or similar applicant tracking system a plus.
The ability to handle sensitive and confidential information a must. 
Strong organizational skills, ability to shift priorities and attention to detail.
Strong verbal, written, and interpersonal skills.
A reliable car, current driver's license and safe driving record required.
 GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/employer contribution
Mileage reimbursement
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, and welcoming environment that values each and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities. 
We believe in:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Case Management, Social Services, Social Work, Social Worker, Elder, Geriatric Care, Human Services, Health Care, Outreach, Public Health, Human Resources, Human Resources Manager, Hiring Manager, Human Resources Generalist, Human Resources Coordinator, Human Resources Specialist, HR, Payroll, Nonprofit, Recruiter, Recruitment, Talent Acquisition.
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1342488-143011.html "
